# f0be1102-8f39-4ba0-90f0-c95a9f975a3a
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.9667293; 0.0040092; -0.2379784; 0.0008058; 28.5214931; 3.3359528
1.9967523; -1.4997041; 1.9444997; -0.2333955; 0.0037873; 28.7540904; 3.4111221
3.9935046; -1.0464005; 3.8922488; -0.2232422; 0.0057767; 28.9899991; 3.4977584
5.9902570; -0.6163599; 5.8403556; -0.2110723; 0.0064160; 29.2299223; 3.5925036
7.9870093; -0.2102915; 7.7964360; -0.1983874; 0.0062107; 29.4743115; 3.6446157
9.9837616; 0.1712173; 9.7560697; -0.1862481; 0.0059823; 29.7201923; 3.7010974
11.9805139; 0.5292183; 11.7197935; -0.1744560; 0.0058310; 29.9678191; 3.7365862
13.9772663; 0.8645616; 13.6889775; -0.1629404; 0.0057028; 30.2157617; 3.7562289
15.9740186; 1.1772556; 15.6605745; -0.1516746; 0.0055986; 30.4629738; 3.7618186
17.9707709; 1.4679102; 17.6357365; -0.1405584; 0.0055367; 30.7085593; 3.7238523
19.9675232; 1.7368061; 19.6148550; -0.1295238; 0.0055218; 30.9497469; 3.6990478
21.9642756; 1.9837371; 21.5957994; -0.1185014; 0.0055310; 31.1874814; 3.6374362
23.9610279; 2.2088025; 23.5796513; -0.1074160; 0.0055730; 31.4195022; 3.5485168
25.9577802; 2.4118311; 25.5664335; -0.0962405; 0.0056196; 31.6442117; 3.5108418
27.9545325; 2.5924842; 27.5545836; -0.0849796; 0.0056509; 31.8649760; 3.4549163
29.9512848; 2.7507329; 29.5449385; -0.0737051; 0.0056421; 32.0807407; 3.4835135
31.9480372; 2.8866230; 31.5372633; -0.0625492; 0.0055026; 32.2968319; 3.0051619
33.9447895; 3.0005907; 33.5304465; -0.0517523; 0.0052851; 32.4820947; 1.7584818
35.9415418; 3.0935653; 35.5249520; -0.0415171; 0.0049663; 32.5900135; -0.6454686
37.9382941; 3.1667956; 37.5203997; -0.0319842; 0.0045646; 32.5504424; -2.3542575
39.9350465; 3.2218342; 39.5162214; -0.0233039; 0.0041110; 32.4057026; -4.8921573
41.9317988; 3.2605140; 41.5125643; -0.0156155; 0.0035896; 32.1028458; -7.5917445
43.9285511; 3.2849110; 43.5090870; -0.0090202; 0.0030038; 31.6271251; -8.8850728
45.9253034; 3.2973355; 45.5057534; -0.0036299; 0.0023825; 31.0611085; -10.3558348
47.9220557; 3.3002752; 47.5025214; 0.0004644; 0.0017184; 30.3880962; -10.8001915
49.9188081; 3.2963492; 49.4991037; 0.0032601; 0.0010886; 29.6699473; -10.8743415
51.9155604; 3.2880760; 51.4958727; 0.0048430; 0.0005611; 28.9288617; -10.9794176
53.9123127; 3.2775008; 53.4926610; 0.0056421; 0.0002394; 28.1608360; -10.9572861
