tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,96.8952619057,52.5396741897,0.0,0,0,0
blue,94.8952619057,58.5396741897,0.0,0,0,0
yellow,100.909034841,52.7840340099,0.0,0,0,0
blue,98.9090348408,58.7840340099,0.0,0,0,0
yellow,104.922807776,53.0283938301,0.0,0,0,0
blue,102.922807776,59.0283938301,0.0,0,0,0
yellow,108.936580711,53.2727536503,0.0,0,0,0
blue,106.936580711,59.2727536503,0.0,0,0,0
yellow,112.950353646,53.5171134705,0.0,0,0,0
blue,110.950353646,59.5171134705,0.0,0,0,0
yellow,116.964126581,53.7614732907,0.0,0,0,0
blue,114.964126581,59.7614732907,0.0,0,0,0
yellow,117.318341428,53.7798484554,0.0,0,0,0
blue,115.318341428,59.7798484554,0.0,0,0,0
yellow,117.965966596,53.785126661,0.0,0,0,0
blue,117.965966596,59.785126661,0.0,0,0,0
yellow,122.091217678,53.7026992401,0.0,0,0,0
blue,122.091217678,59.7026992401,0.0,0,0,0
yellow,126.21646876,53.6202718192,0.0,0,0,0
blue,126.21646876,59.6202718192,0.0,0,0,0
yellow,130.341719842,53.5378443983,0.0,0,0,0
blue,130.341719842,59.5378443983,0.0,0,0,0
yellow,134.466970924,53.4554169774,0.0,0,0,0
blue,134.466970924,59.4554169774,0.0,0,0,0
yellow,138.592222005,53.3729895565,0.0,0,0,0
blue,138.592222005,59.3729895565,0.0,0,0,0
yellow,142.717473087,53.2905621356,0.0,0,0,0
blue,142.717473087,59.2905621356,0.0,0,0,0
yellow,146.842724169,53.2081347147,0.0,0,0,0
blue,146.842724169,59.2081347147,0.0,0,0,0
yellow,150.967975251,53.1257072938,0.0,0,0,0
blue,150.967975251,59.1257072938,0.0,0,0,0
yellow,155.093226333,53.0432798729,0.0,0,0,0
blue,155.093226333,59.0432798729,0.0,0,0,0
yellow,159.218477414,52.960852452,0.0,0,0,0
blue,159.218477414,58.960852452,0.0,0,0,0
yellow,163.343728496,52.8784250311,0.0,0,0,0
blue,163.343728496,58.8784250311,0.0,0,0,0
yellow,167.468979578,52.7959976102,0.0,0,0,0
blue,167.468979578,58.7959976102,0.0,0,0,0
yellow,171.59423066,52.7135701893,0.0,0,0,0
blue,171.59423066,58.7135701893,0.0,0,0,0
yellow,175.719481742,52.6311427684,0.0,0,0,0
blue,175.719481742,58.6311427684,0.0,0,0,0
yellow,179.844732823,52.5487153475,0.0,0,0,0
blue,179.844732823,58.5487153475,0.0,0,0,0
yellow,183.969983905,52.4662879265,0.0,0,0,0
blue,183.969983905,58.4662879265,0.0,0,0,0
yellow,188.095234987,52.3838605056,0.0,0,0,0
blue,188.095234987,58.3838605056,0.0,0,0,0
yellow,192.220486069,52.3014330847,0.0,0,0,0
blue,192.220486069,58.3014330847,0.0,0,0,0
yellow,196.345737151,52.2190056638,0.0,0,0,0
blue,196.345737151,58.2190056638,0.0,0,0,0
yellow,197.996485931,52.1860217407,0.0,0,0,0
blue,197.996485931,58.1860217407,0.0,0,0,0
yellow,202.012876241,52.451340448,0.0,0,0,0
blue,201.918592287,59.3032904287,0.0,0,0,0
yellow,206.173301507,53.408859329,0.0,0,0,0
yellow,210.055996219,56.0198222306,0.0,0,0,0
blue,205.555596843,61.2328580373,0.0,0,0,0
yellow,213.067519758,58.8363678788,0.0,0,0,0
yellow,215.609626937,62.1175676771,0.0,0,0,0
yellow,215.795289856,62.4609178752,0.0,0,0,0
blue,207.795289856,64.4609178752,0.0,0,0,0
yellow,217.703350573,65.9895332137,0.0,0,0,0
blue,209.703350573,67.9895332137,0.0,0,0,0
yellow,219.61141129,69.5181485522,0.0,0,0,0
blue,211.61141129,71.5181485522,0.0,0,0,0
yellow,221.519472006,73.0467638907,0.0,0,0,0
blue,213.519472006,75.0467638907,0.0,0,0,0
yellow,223.427532723,76.5753792293,0.0,0,0,0
blue,215.427532723,78.5753792293,0.0,0,0,0
yellow,225.33559344,80.1039945678,0.0,0,0,0
blue,217.33559344,82.1039945678,0.0,0,0,0
yellow,227.243654157,83.6326099063,0.0,0,0,0
blue,219.243654157,85.6326099063,0.0,0,0,0
yellow,229.151714874,87.1612252448,0.0,0,0,0
blue,221.151714874,89.1612252448,0.0,0,0,0
yellow,231.05977559,90.6898405833,0.0,0,0,0
blue,223.05977559,92.6898405833,0.0,0,0,0
yellow,232.967836307,94.2184559219,0.0,0,0,0
blue,224.967836307,96.2184559219,0.0,0,0,0
yellow,234.831542002,97.6663186677,0.0,0,0,0
blue,226.831542002,99.6663186677,0.0,0,0,0
blue,229.348016744,102.946200021,0.0,0,0,0
yellow,237.252546996,100.913512692,0.0,0,0,0
blue,232.331071144,105.759130771,0.0,0,0,0
blue,235.695973914,108.139271894,0.0,0,0,0
yellow,240.962733032,102.662345129,0.0,0,0,0
blue,239.671200795,109.166252985,0.0,0,0,0
yellow,244.932066015,103.553667434,0.0,0,0,0
blue,244.206258077,109.553613711,0.0,0,0,0
blue,248.262794202,108.957201416,0.0,0,0,0
yellow,248.814482558,102.412987066,0.0,0,0,0
blue,252.176994671,107.76804172,0.0,0,0,0
blue,255.462360574,105.25984501,0.0,0,0,0
yellow,252.393435109,100.450703185,0.0,0,0,0
