tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,66.6984768935,21.988494592,0.0,0,0,0
blue,64.6984768935,13.988494592,0.0,0,0,0
yellow,62.7396298473,22.6835737869,0.0,0,0,0
blue,60.7396298473,14.6835737869,0.0,0,0,0
yellow,58.780782801,23.3786529819,0.0,0,0,0
blue,56.780782801,15.3786529819,0.0,0,0,0
yellow,54.8219357547,24.0737321769,0.0,0,0,0
blue,52.8219357547,16.0737321769,0.0,0,0,0
yellow,53.9171988369,24.2312743973,0.0,0,0,0
blue,51.9171988369,16.2312743973,0.0,0,0,0
yellow,50.4270563132,24.2307868167,0.0,0,0,0
blue,50.4270563132,16.2307868167,0.0,0,0,0
yellow,46.4369858652,23.6670554533,0.0,0,0,0
blue,46.4369858652,15.6670554533,0.0,0,0,0
yellow,42.4469154172,23.10332409,0.0,0,0,0
blue,42.4469154172,15.10332409,0.0,0,0,0
yellow,38.4568449691,22.5395927266,0.0,0,0,0
blue,38.4568449691,14.5395927266,0.0,0,0,0
yellow,34.4667745211,21.9758613632,0.0,0,0,0
blue,34.4667745211,13.9758613632,0.0,0,0,0
yellow,30.4767040731,21.4121299999,0.0,0,0,0
blue,30.4767040731,13.4121299999,0.0,0,0,0
yellow,29.5002400402,21.2741716837,0.0,0,0,0
blue,29.5002400402,13.2741716837,0.0,0,0,0
blue,25.4452639071,13.2841341731,0.0,0,0,0
yellow,25.5030307638,22.1064738566,0.0,0,0,0
blue,21.5030307638,14.1064738566,0.0,0,0,0
blue,18.208719739,16.4319181637,0.0,0,0,0
yellow,22.1534313693,24.4098444688,0.0,0,0,0
blue,15.5485497439,20.2324649809,0.0,0,0,0
blue,13.0303764848,24.5639663604,0.0,0,0,0
yellow,20.8651841554,27.2486084928,0.0,0,0,0
blue,12.8651841554,25.2486084928,0.0,0,0,0
yellow,19.9818516779,31.1777600098,0.0,0,0,0
blue,11.9818516779,29.1777600098,0.0,0,0,0
yellow,19.0985192005,35.1069115269,0.0,0,0,0
blue,11.0985192005,33.1069115269,0.0,0,0,0
yellow,18.215186723,39.0360630439,0.0,0,0,0
blue,10.215186723,37.0360630439,0.0,0,0,0
yellow,17.3318542455,42.9652145609,0.0,0,0,0
blue,9.33185424552,40.9652145609,0.0,0,0,0
yellow,16.448521768,46.894366078,0.0,0,0,0
blue,8.44852176804,44.894366078,0.0,0,0,0
yellow,15.5651892906,50.823517595,0.0,0,0,0
blue,7.56518929057,48.823517595,0.0,0,0,0
yellow,14.6818568131,54.752669112,0.0,0,0,0
blue,6.68185681309,52.752669112,0.0,0,0,0
yellow,13.8443618417,58.4919090034,0.0,0,0,0
blue,5.84436184166,56.4919090034,0.0,0,0,0
blue,5.74445854537,60.5513166442,0.0,0,0,0
yellow,14.6212134444,62.4841065495,0.0,0,0,0
blue,6.62121344437,64.4841065495,0.0,0,0,0
blue,9.14923354183,67.7384645854,0.0,0,0,0
blue,12.4002146731,70.554704053,0.0,0,0,0
yellow,17.6268341772,65.1540725596,0.0,0,0,0
blue,16.2598719427,71.6466363229,0.0,0,0,0
yellow,19.2938560927,65.8047106455,0.0,0,0,0
blue,17.2938560927,71.8047106455,0.0,0,0,0
yellow,23.3037400236,66.2979970615,0.0,0,0,0
blue,21.3037400236,72.2979970615,0.0,0,0,0
yellow,27.3136239546,66.7912834774,0.0,0,0,0
blue,25.3136239546,72.7912834774,0.0,0,0,0
yellow,31.3235078856,67.2845698933,0.0,0,0,0
blue,29.3235078856,73.2845698933,0.0,0,0,0
yellow,35.3333918165,67.7778563092,0.0,0,0,0
blue,33.3333918165,73.7778563092,0.0,0,0,0
yellow,39.3432757475,68.2711427251,0.0,0,0,0
blue,37.3432757475,74.2711427251,0.0,0,0,0
yellow,43.3531596785,68.764429141,0.0,0,0,0
blue,41.3531596785,74.764429141,0.0,0,0,0
yellow,47.3630436095,69.2577155569,0.0,0,0,0
blue,45.3630436095,75.2577155569,0.0,0,0,0
yellow,51.3729275404,69.7510019728,0.0,0,0,0
blue,49.3729275404,75.7510019728,0.0,0,0,0
yellow,55.3828114714,70.2442883887,0.0,0,0,0
blue,53.3828114714,76.2442883887,0.0,0,0,0
yellow,59.3926954024,70.7375748047,0.0,0,0,0
blue,57.3926954024,76.7375748047,0.0,0,0,0
yellow,63.4025793333,71.2308612206,0.0,0,0,0
blue,61.4025793333,77.2308612206,0.0,0,0,0
yellow,67.4124632643,71.7241476365,0.0,0,0,0
blue,65.4124632643,77.7241476365,0.0,0,0,0
yellow,71.4223471953,72.2174340524,0.0,0,0,0
blue,69.4223471953,78.2174340524,0.0,0,0,0
yellow,75.4322311262,72.7107204683,0.0,0,0,0
blue,73.4322311262,78.7107204683,0.0,0,0,0
yellow,79.4421150572,73.2040068842,0.0,0,0,0
blue,77.4421150572,79.2040068842,0.0,0,0,0
yellow,83.4519989882,73.6972933001,0.0,0,0,0
blue,81.4519989882,79.6972933001,0.0,0,0,0
yellow,85.886889689,73.9942176565,0.0,0,0,0
blue,83.886889689,79.9942176565,0.0,0,0,0
blue,87.8866048209,79.7143739941,0.0,0,0,0
blue,92.3412483563,77.5224032778,0.0,0,0,0
yellow,89.6288861091,72.369342199,0.0,0,0,0
yellow,90.4652401346,72.2631005741,0.0,0,0,0
blue,94.4652401346,74.2631005741,0.0,0,0,0
yellow,92.6752751385,68.8911752222,0.0,0,0,0
blue,96.6752751385,70.8911752222,0.0,0,0,0
yellow,94.8853101424,65.5192498704,0.0,0,0,0
blue,98.8853101424,67.5192498704,0.0,0,0,0
yellow,97.0953451463,62.1473245185,0.0,0,0,0
blue,101.095345146,64.1473245185,0.0,0,0,0
yellow,99.3053801502,58.7753991666,0.0,0,0,0
blue,103.30538015,60.7753991666,0.0,0,0,0
yellow,101.515415154,55.4034738147,0.0,0,0,0
blue,105.515415154,57.4034738147,0.0,0,0,0
yellow,103.725450158,52.0315484628,0.0,0,0,0
blue,107.725450158,54.0315484628,0.0,0,0,0
yellow,105.935485162,48.659623111,0.0,0,0,0
blue,109.935485162,50.659623111,0.0,0,0,0
yellow,107.564424396,46.1740784691,0.0,0,0,0
blue,111.564424396,48.1740784691,0.0,0,0,0
yellow,110.371624574,43.3239081604,0.0,0,0,0
yellow,113.831618224,41.3096087895,0.0,0,0,0
blue,115.512681578,46.9126921708,0.0,0,0,0
blue,119.410112723,45.7828267954,0.0,0,0,0
yellow,117.549193258,39.712818845,0.0,0,0,0
blue,122.680512704,43.426976016,0.0,0,0,0
yellow,120.939770044,37.5225683876,0.0,0,0,0
blue,125.685302219,40.7277239459,0.0,0,0,0
blue,128.601909209,37.0844841111,0.0,0,0,0
yellow,123.125661278,34.1288274364,0.0,0,0,0
blue,130.233529086,33.3895499651,0.0,0,0,0
yellow,124.714998003,30.4246419295,0.0,0,0,0
blue,130.878155074,29.3471561152,0.0,0,0,0
blue,130.967582234,25.2385059603,0.0,0,0,0
yellow,124.88524044,26.3080136857,0.0,0,0,0
blue,130.251292173,20.2633769919,0.0,0,0,0
yellow,123.612111578,22.5085871149,0.0,0,0,0
blue,128.632645425,16.562741307,0.0,0,0,0
blue,126.126718935,13.3889812419,0.0,0,0,0
yellow,121.725323616,18.9127936292,0.0,0,0,0
blue,123.230908593,10.5731324838,0.0,0,0,0
yellow,118.730022489,16.2030163459,0.0,0,0,0
blue,120.015843627,8.12864828254,0.0,0,0,0
yellow,114.868963937,14.7895184162,0.0,0,0,0
blue,115.421336111,6.65603389113,0.0,0,0,0
blue,111.433318568,6.01537966168,0.0,0,0,0
yellow,110.810707423,14.0002731361,0.0,0,0,0
blue,107.326927912,6.16383873636,0.0,0,0,0
yellow,106.76733393,14.6108193914,0.0,0,0,0
blue,103.334452222,6.86901451783,0.0,0,0,0
yellow,102.826909234,15.3208559891,0.0,0,0,0
blue,99.3940275257,7.57905111554,0.0,0,0,0
yellow,98.886484537,16.0308925868,0.0,0,0,0
blue,95.4536028291,8.28908771326,0.0,0,0,0
yellow,94.9460598404,16.7409291845,0.0,0,0,0
blue,91.5131781326,8.99912431097,0.0,0,0,0
yellow,91.0056351438,17.4509657822,0.0,0,0,0
blue,87.572753436,9.70916090868,0.0,0,0,0
yellow,87.0652104473,18.16100238,0.0,0,0,0
blue,83.6323287394,10.4191975064,0.0,0,0,0
yellow,83.1247857507,18.8710389777,0.0,0,0,0
blue,79.6919040429,11.1292341041,0.0,0,0,0
yellow,79.1843610542,19.5810755754,0.0,0,0,0
blue,75.7514793463,11.8392707018,0.0,0,0,0
yellow,75.2439363576,20.2911121731,0.0,0,0,0
blue,71.8110546498,12.5493072995,0.0,0,0,0
yellow,71.3035116611,21.0011487708,0.0,0,0,0
blue,67.8706299532,13.2593438972,0.0,0,0,0
yellow,67.3630869645,21.7111853685,0.0,0,0,0
big_orange,69.0279004167,21.6409549945,0.0,0,0,0
big_orange,68.3279004167,21.6409549945,0.0,0,0,0
big_orange,67.0279004167,13.6409549945,0.0,0,0,0
big_orange,66.3279004167,13.6409549945,0.0,0,0,0
inactive_noise,5.0,47.0,0.0,0,0,0
inactive_noise,8.0,18.0,0.0,0,0,0
inactive_noise,9.0,9.0,0.0,0,0,0
inactive_noise,10.0,41.0,0.0,0,0,0
inactive_noise,11.0,23.0,0.0,0,0,0
inactive_noise,11.0,37.0,0.0,0,0,0
inactive_noise,14.0,12.0,0.0,0,0,0
inactive_noise,14.0,16.0,0.0,0,0,0
inactive_noise,14.0,75.0,0.0,0,0,0
inactive_noise,16.0,85.0,0.0,0,0,0
inactive_noise,17.0,51.0,0.0,0,0,0
inactive_noise,18.0,55.0,0.0,0,0,0
inactive_noise,20.0,58.0,0.0,0,0,0
inactive_noise,20.0,75.0,0.0,0,0,0
inactive_noise,23.0,85.0,0.0,0,0,0
inactive_noise,24.0,21.0,0.0,0,0,0
inactive_noise,24.0,44.0,0.0,0,0,0
inactive_noise,25.0,11.0,0.0,0,0,0
inactive_noise,26.0,12.0,0.0,0,0,0
inactive_noise,27.0,73.0,0.0,0,0,0
inactive_noise,28.0,60.0,0.0,0,0,0
inactive_noise,30.0,74.0,0.0,0,0,0
inactive_noise,31.0,14.0,0.0,0,0,0
inactive_noise,31.0,74.0,0.0,0,0,0
inactive_noise,32.0,28.0,0.0,0,0,0
inactive_noise,32.0,75.0,0.0,0,0,0
inactive_noise,33.0,58.0,0.0,0,0,0
inactive_noise,34.0,32.0,0.0,0,0,0
inactive_noise,36.0,61.0,0.0,0,0,0
inactive_noise,37.0,12.0,0.0,0,0,0
inactive_noise,40.0,45.0,0.0,0,0,0
inactive_noise,41.0,10.0,0.0,0,0,0
inactive_noise,41.0,62.0,0.0,0,0,0
inactive_noise,42.0,77.0,0.0,0,0,0
inactive_noise,42.0,79.0,0.0,0,0,0
inactive_noise,43.0,11.0,0.0,0,0,0
inactive_noise,43.0,52.0,0.0,0,0,0
inactive_noise,45.0,40.0,0.0,0,0,0
inactive_noise,45.0,45.0,0.0,0,0,0
inactive_noise,45.0,51.0,0.0,0,0,0
inactive_noise,46.0,56.0,0.0,0,0,0
inactive_noise,47.0,62.0,0.0,0,0,0
inactive_noise,48.0,51.0,0.0,0,0,0
inactive_noise,50.0,57.0,0.0,0,0,0
inactive_noise,52.0,34.0,0.0,0,0,0
inactive_noise,54.0,34.0,0.0,0,0,0
inactive_noise,54.0,36.0,0.0,0,0,0
inactive_noise,54.0,41.0,0.0,0,0,0
inactive_noise,55.0,48.0,0.0,0,0,0
inactive_noise,55.0,55.0,0.0,0,0,0
inactive_noise,57.0,34.0,0.0,0,0,0
inactive_noise,59.0,24.0,0.0,0,0,0
inactive_noise,65.0,64.0,0.0,0,0,0
inactive_noise,67.0,69.0,0.0,0,0,0
inactive_noise,69.0,62.0,0.0,0,0,0
inactive_noise,70.0,12.0,0.0,0,0,0
inactive_noise,72.0,39.0,0.0,0,0,0
inactive_noise,72.0,40.0,0.0,0,0,0
inactive_noise,72.0,62.0,0.0,0,0,0
inactive_noise,73.0,71.0,0.0,0,0,0
inactive_noise,78.0,12.0,0.0,0,0,0
inactive_noise,79.0,22.0,0.0,0,0,0
inactive_noise,80.0,23.0,0.0,0,0,0
inactive_noise,82.0,39.0,0.0,0,0,0
inactive_noise,82.0,52.0,0.0,0,0,0
inactive_noise,82.0,55.0,0.0,0,0,0
inactive_noise,85.0,26.0,0.0,0,0,0
inactive_noise,87.0,31.0,0.0,0,0,0
inactive_noise,89.0,8.0,0.0,0,0,0
inactive_noise,89.0,84.0,0.0,0,0,0
inactive_noise,91.0,25.0,0.0,0,0,0
inactive_noise,97.0,34.0,0.0,0,0,0
inactive_noise,98.0,45.0,0.0,0,0,0
inactive_noise,100.0,21.0,0.0,0,0,0
inactive_noise,100.0,65.0,0.0,0,0,0
inactive_noise,101.0,35.0,0.0,0,0,0
inactive_noise,101.0,36.0,0.0,0,0,0
inactive_noise,102.0,75.0,0.0,0,0,0
inactive_noise,103.0,69.0,0.0,0,0,0
inactive_noise,104.0,76.0,0.0,0,0,0
inactive_noise,104.0,81.0,0.0,0,0,0
inactive_noise,105.0,84.0,0.0,0,0,0
inactive_noise,107.0,14.0,0.0,0,0,0
inactive_noise,108.0,63.0,0.0,0,0,0
inactive_noise,109.0,29.0,0.0,0,0,0
inactive_noise,109.0,30.0,0.0,0,0,0
inactive_noise,112.0,13.0,0.0,0,0,0
inactive_noise,112.0,24.0,0.0,0,0,0
inactive_noise,114.0,47.0,0.0,0,0,0
inactive_noise,114.0,59.0,0.0,0,0,0
inactive_noise,115.0,39.0,0.0,0,0,0
inactive_noise,115.0,80.0,0.0,0,0,0
inactive_noise,116.0,28.0,0.0,0,0,0
inactive_noise,116.0,55.0,0.0,0,0,0
inactive_noise,118.0,72.0,0.0,0,0,0
inactive_noise,121.0,10.0,0.0,0,0,0
inactive_noise,122.0,63.0,0.0,0,0,0
inactive_noise,126.0,6.0,0.0,0,0,0
inactive_noise,126.0,60.0,0.0,0,0,0
inactive_noise,126.0,68.0,0.0,0,0,0
inactive_noise,127.0,8.0,0.0,0,0,0
inactive_noise,130.0,17.0,0.0,0,0,0
inactive_noise,131.0,42.0,0.0,0,0,0
inactive_noise,131.0,56.0,0.0,0,0,0
inactive_noise,132.0,79.0,0.0,0,0,0
car_start,69.0,17.0,3.14159265359,0,0,0
